
==========train clamp qwt=====wikitext======= lyr_qt_qwt=[10000], ect_lyr=[10000]
39 r2_score:        0.06852, quant_loss:      0.70480, qwt_mse:      0.63486

==========train clamp qwt=====wikitext======= lyr_qt_qwt=[10, 12, 25, 37, 39], ect_lyr=[10000]
0 r2_score:        0.22961, quant_loss:      0.00015
1 r2_score:        0.51029, quant_loss:      0.00043
2 r2_score:        0.48138, quant_loss:      0.00069
3 r2_score:        0.60634, quant_loss:      0.00515
4 r2_score:        0.45783, quant_loss:      0.00555, qwt_mse:      0.00278
5 r2_score:        0.14471, quant_loss:      0.00431, qwt_mse:      0.00334
6 r2_score:        0.23306, quant_loss:      0.00535, qwt_mse:      0.00371
7 r2_score:        0.16495, quant_loss:      0.00619, qwt_mse:      0.00465
8 r2_score:       -0.35152, quant_loss:      0.00792
9 r2_score:        0.16452, quant_loss:      0.00971, qwt_mse:      0.00736
10 r2_score:        0.10270, quant_loss:      0.00923, qwt_mse:      0.00820
11 r2_score:        0.13487, quant_loss:      0.01351, qwt_mse:      0.01044
12 r2_score:        0.09514, quant_loss:      0.01235, qwt_mse:      0.01105
13 r2_score:        0.12546, quant_loss:      0.01824, qwt_mse:      0.01421
14 r2_score:        0.11666, quant_loss:      0.02213, qwt_mse:      0.01770
15 r2_score:        0.11894, quant_loss:      0.02619, qwt_mse:      0.02057
16 r2_score:        0.10369, quant_loss:      0.03041, qwt_mse:      0.02470
17 r2_score:        0.09705, quant_loss:      0.03493, qwt_mse:      0.02876
18 r2_score:        0.06497, quant_loss:      0.03978, qwt_mse:      0.03406
19 r2_score:        0.08762, quant_loss:      0.04739, qwt_mse:      0.03981
20 r2_score:        0.06942, quant_loss:      0.05447, qwt_mse:      0.04691
21 r2_score:        0.06767, quant_loss:      0.06669, qwt_mse:      0.05767
22 r2_score:        0.05517, quant_loss:      0.07608, qwt_mse:      0.06780
23 r2_score:        0.04959, quant_loss:      0.08871, qwt_mse:      0.08001
24 r2_score:        0.04385, quant_loss:      0.10159, qwt_mse:      0.09283
25 r2_score:        0.03240, quant_loss:      0.10580, qwt_mse:      0.10216
26 r2_score:        0.03406, quant_loss:      0.12893, qwt_mse:      0.11982
